date,team,elo,fifa_rank,fifa_points,confederation,draws_last_10,draws_last_5,goal_diff_last_10,goal_diff_last_5,goals_against_last_10,goals_against_last_5,goals_for_last_10,goals_for_last_5,losses_last_10,losses_last_5,points_last_10,points_last_5,points_per_match_last_10,points_per_match_last_5,wins_last_10,wins_last_5
2026-03-30,Belize,1058.0,182.0,913.42,,1.0,0.0,-7.0,1.0,24.0,8.0,17.0,9.0,5.0,3.0,13.0,6.0,1.3,1.2,4.0,2.0
2026-03-31,Benin,1348.0,89.0,1257.69,,0.0,0.0,-5.0,-4.0,14.0,7.0,9.0,3.0,5.0,3.0,15.0,6.0,1.5,1.2,5.0,2.0
2025-11-18,Bermuda,1149.0,170.0,973.34,,0.0,0.0,-22.0,-19.0,35.0,21.0,13.0,2.0,8.0,5.0,6.0,0.0,0.6,0.0,2.0,0.0
2025-11-18,Bhutan,620.0,184.0,904.06,,1.0,1.0,-15.0,-9.0,19.0,10.0,4.0,1.0,7.0,4.0,7.0,1.0,0.7,0.2,2.0,0.0
2022-05-25,Biafra,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.5,1.5,1.0,1.0
2026-03-31,Bolivia,1612.0,83.0,1293.76,,1.0,1.0,-6.0,0.0,14.0,6.0,8.0,6.0,5.0,2.0,13.0,7.0,1.3,1.4,4.0,2.0
2026-03-29,Bonaire,833.0,,,,1.0,0.0,-10.0,-8.0,20.0,15.0,10.0,7.0,7.0,4.0,7.0,3.0,0.7,0.6,2.0,1.0
2026-03-31,Bosnia and Herzegovina,1485.0,75.0,1332.39,,3.0,3.0,11.0,5.0,11.0,6.0,22.0,11.0,2.0,0.0,18.0,9.0,1.8,1.8,5.0,2.0
2026-03-31,Botswana,1347.0,147.0,1050.15,,1.0,1.0,-15.0,-10.0,21.0,12.0,6.0,2.0,8.0,4.0,4.0,1.0,0.4,0.2,1.0,0.0
2025-10-14,Brazil,2012.0,5.0,1772.02,CONMEBOL,3.0,1.0,10.0,8.0,8.0,1.0,18.0,9.0,2.0,1.0,18.0,10.0,1.8,2.0,5.0,3.0
2026-03-29,British Virgin Islands,659.0,208.0,790.63,,2.0,1.0,-5.0,3.0,17.0,7.0,12.0,10.0,6.0,2.0,8.0,7.0,0.8,1.4,2.0,2.0
2025-11-18,Brunei,595.0,,,,1.0,0.0,-14.0,-16.0,21.0,18.0,7.0,2.0,6.0,4.0,10.0,3.0,1.0,0.6,3.0,1.0
2026-03-30,Bulgaria,1457.0,81.0,1302.68,,1.0,0.0,-13.0,-2.0,29.0,15.0,16.0,13.0,7.0,3.0,7.0,6.0,0.7,1.2,2.0,2.0
2026-01-06,Burkina Faso,1565.0,63.0,1387.5,,1.0,0.0,17.0,6.0,5.0,4.0,22.0,10.0,1.0,1.0,25.0,12.0,2.5,2.4,8.0,4.0
2025-10-14,Burundi,1291.0,136.0,1101.79,,2.0,1.0,-3.0,-3.0,9.0,4.0,6.0,1.0,6.0,3.0,8.0,4.0,0.8,0.8,2.0,1.0
2024-12-20,Cambodia,847.0,180.0,919.7,,3.0,1.0,-4.0,-2.0,18.0,10.0,14.0,8.0,4.0,2.0,12.0,7.0,1.2,1.4,3.0,2.0
2026-03-31,Cameroon,1620.0,53.0,1458.51,,2.0,1.0,0.0,-1.0,8.0,6.0,8.0,5.0,4.0,2.0,14.0,7.0,1.4,1.4,4.0,2.0
2025-06-29,Canada,1706.0,38.0,1502.31,CONCACAF,2.0,2.0,14.0,10.0,7.0,3.0,21.0,13.0,1.0,0.0,23.0,11.0,2.3,2.2,7.0,3.0
2026-03-30,Cape Verde,1482.0,65.0,1379.17,,5.0,3.0,7.0,1.0,10.0,8.0,17.0,9.0,1.0,1.0,17.0,6.0,1.7,1.2,4.0,1.0
2026-03-29,Cayman Islands,801.0,195.0,857.37,,2.0,1.0,-12.0,-3.0,21.0,9.0,9.0,6.0,6.0,3.0,8.0,4.0,0.8,0.8,2.0,1.0
2025-10-12,Central African Republic,1306.0,128.0,1130.7,,1.0,1.0,-22.0,-8.0,25.0,10.0,3.0,2.0,8.0,3.0,4.0,4.0,0.4,0.8,1.0,1.0
2025-10-12,Chad,1159.0,177.0,932.44,,3.0,2.0,-16.0,-5.0,20.0,8.0,4.0,3.0,7.0,3.0,3.0,2.0,0.3,0.4,0.0,0.0
2019-06-02,Chagos Islands,776.0,,,,1.0,0.0,-40.0,-15.0,54.0,23.0,14.0,8.0,8.0,4.0,4.0,3.0,0.4,0.6,1.0,1.0
2023-07-01,Chameria,,,,,2.0,2.0,4.0,6.0,7.0,4.0,11.0,10.0,2.0,1.0,8.0,8.0,1.3333333333333333,1.6,2.0,2.0
2026-03-30,Chile,1700.0,49.0,1467.98,CONMEBOL,2.0,1.0,-1.0,6.0,11.0,4.0,10.0,10.0,4.0,0.0,14.0,13.0,1.4,2.6,4.0,4.0
2026-03-31,China,1449.0,91.0,1253.77,,1.0,1.0,-3.0,0.0,13.0,5.0,10.0,5.0,5.0,2.0,13.0,7.0,1.3,1.4,4.0,2.0
2025-09-09,Colombia,1984.0,9.0,1738.72,CONMEBOL,3.0,3.0,4.0,2.0,11.0,5.0,15.0,7.0,4.0,1.0,12.0,6.0,1.2,1.2,3.0,1.0
2026-03-31,Comoros,1275.0,118.0,1159.64,,4.0,3.0,-2.0,-3.0,14.0,4.0,12.0,1.0,4.0,2.0,10.0,3.0,1.0,0.6,2.0,0.0
2025-10-14,Congo,1271.0,117.0,1160.33,,3.0,2.0,-16.0,-4.0,23.0,9.0,7.0,5.0,6.0,3.0,6.0,2.0,0.6,0.4,1.0,0.0
2024-09-06,Cook Islands,687.0,186.0,896.59,,0.0,0.0,-28.0,-14.0,32.0,15.0,4.0,1.0,8.0,4.0,6.0,3.0,0.6,0.6,2.0,1.0
2025-11-18,Costa Rica,1577.0,50.0,1466.08,CONCACAF,5.0,3.0,5.0,2.0,13.0,6.0,18.0,8.0,1.0,1.0,17.0,6.0,1.7,1.2,4.0,1.0
2025-11-17,Croatia,1952.0,12.0,1699.6,UEFA,2.0,1.0,21.0,10.0,5.0,1.0,26.0,11.0,1.0,0.0,23.0,13.0,2.3,2.6,7.0,4.0
2026-03-29,Cuba,1291.0,165.0,991.73,,1.0,1.0,-10.0,2.0,20.0,5.0,10.0,7.0,6.0,2.0,10.0,7.0,1.0,1.4,3.0,2.0
2026-03-31,Curaçao,1339.0,88.0,1261.38,,5.0,2.0,7.0,7.0,8.0,3.0,15.0,10.0,2.0,1.0,14.0,8.0,1.4,1.6,3.0,2.0
2025-11-15,Cyprus,1322.0,123.0,1137.06,,3.0,2.0,0.0,1.0,16.0,7.0,16.0,8.0,4.0,2.0,12.0,5.0,1.2,1.0,3.0,1.0
2026-03-31,Czech Republic,,32.0,1502.9,,3.0,2.0,10.0,6.0,10.0,4.0,20.0,10.0,2.0,1.0,18.0,8.0,1.8,1.6,5.0,2.0
